id,race_id,driver_id,constructor_id,grid_position,finish_position,position_text,points,laps,status,fastest_lap_time
8622,407,562,77,14,10,10,1.0,58,Finished,1:47.677
8623,407,496,212,17,11,11,0.0,58,Finished,1:47.055
8624,407,807,172,19,12,12,0.0,56,+2 Laps,1:49.061
8625,407,480,83,16,13,R,0.0,50,Engine,1:47.585
8626,407,373,170,7,14,R,0.0,48,Engine,1:48.011
8627,407,231,172,20,15,R,0.0,35,Accident,1:52.496
8628,407,421,200,13,16,R,0.0,10,Accident,2:10.512
8629,407,17,135,8,17,R,0.0,8,Collision damage,2:13.579
8630,407,789,73,1,18,R,0.0,,Accident,
8631,407,788,169,2,19,R,0.0,,Accident,
8632,407,665,73,4,20,R,0.0,,Accident,
8633,408,788,169,3,1,1,25.0,56,Finished,1:34.467
8634,408,331,140,1,2,2,18.0,56,Finished,1:34.452
8635,408,638,169,4,3,3,15.0,56,Finished,1:34.770
8636,408,789,73,20,4,4,12.0,56,Finished,1:34.080
8637,408,101,140,5,5,5,10.0,56,Finished,1:35.284
8638,408,618,77,9,6,6,8.0,56,Finished,1:35.591
8639,408,784,135,7,7,7,6.0,55,+1 Lap,1:35.931
8640,408,735,212,13,8,8,4.0,55,+1 Lap,1:36.627
8641,408,496,212,11,9,9,2.0,55,+1 Lap,1:36.944
8642,408,562,77,6,10,10,1.0,55,+1 Lap,1:37.075
8643,408,17,135,10,11,11,0.0,55,+1 Lap,1:36.501
8644,408,480,83,17,12,12,0.0,55,+1 Lap,1:37.192
8645,408,315,83,16,13,13,0.0,55,+1 Lap,1:35.796
8646,408,286,200,15,14,14,0.0,55,+1 Lap,1:37.170
8647,408,572,170,12,15,15,0.0,55,+1 Lap,1:37.186
8648,408,373,170,8,16,16,0.0,55,+1 Lap,1:34.266
8649,408,807,172,18,17,17,0.0,55,+1 Lap,1:36.395
8650,408,231,172,19,18,18,0.0,54,+2 Laps,1:36.630
8651,408,668,200,14,19,R,0.0,29,Engine,1:38.123
8652,408,665,73,,20,R,0.0,,Battery,
8653,409,331,140,1,1,1,25.0,53,Finished,1:33.780
8654,409,788,169,4,2,2,18.0,53,Finished,1:33.730
8655,409,638,169,3,3,3,15.0,53,Finished,1:33.694
8656,409,101,140,6,4,4,12.0,53,Finished,1:33.144
8657,409,665,73,10,5,5,10.0,53,Finished,1:33.175
8658,409,562,77,5,6,6,8.0,53,Finished,1:34.843
8659,409,618,77,7,7,7,6.0,53,Finished,1:34.744
8660,409,480,83,12,8,8,4.0,53,Finished,1:35.338
8661,409,315,83,13,9,9,2.0,53,Finished,1:35.347
8662,409,496,212,8,10,10,1.0,52,+1 Lap,1:35.943
8663,409,17,135,20,11,11,0.0,52,+1 Lap,1:35.111
8664,409,572,170,18,12,12,0.0,52,+1 Lap,1:34.095
8665,409,286,200,14,13,13,0.0,52,+1 Lap,1:34.533
8666,409,784,135,9,14,14,0.0,52,+1 Lap,1:33.724
8667,409,807,172,17,15,15,0.0,51,+2 Laps,1:36.430
8668,409,735,212,15,16,R,0.0,45,Wheel,1:34.548
8669,409,373,170,11,17,R,0.0,40,Front wing,1:35.883
8670,409,231,172,16,18,R,0.0,7,Accident,1:38.596
